Latitude	Longitude	stopID	stopName
43.5233	-80.2757	0909	Imperial Rd. S. at Stephanie Dr. 
43.5253	-80.28	0910	Imperial Rd. S. at Deerpath Dr. 
43.5255	-80.2844	0911	Imperial Rd. S.  at Paisley St. 
43.5225	-80.288	0912	Paisley Rd. at Zehrs
43.5224	-80.2818	0913	Stephanie Dr. at Hollyberry Pl
43.523	-80.2765	0914	Stephanie Dr. at Imperial Rd. S.
43.5223	-80.2739	0915	Imperial Rd. S. at West Acres Dr.
43.5208	-80.2699	0916	Imperial Rd. S. at Tim Hortons
43.5229	-80.2672	0917	Wellington St. W. at Wastewater Treatment Plant
43.5311	-80.2606	0918	364 Waterloo Ave.
43.5336	-80.258	0919	Waterloo Ave. at St. Arnaud St.
43.5365	-80.2549	0920	180 Waterloo Ave. 
43.5391	-80.2521	0921	Waterloo Ave. at Glasgow St. 
43.5412	-80.2498	0922	Waterloo Ave. at Norfolk  St. 
43.5434	-80.2491	0923	Guelph City Hall
43.5458	-80.2455	0924	Guelph Central Station
43.5458	-80.2455	1000	Guelph Central Station
43.5458	-80.25	1001	Quebec St. at B.M.O.
43.5454	-80.2529	1002	Paisley St. at Library
43.5435	-80.2567	1003	Paisley St. at Glasgow St.
43.5424	-80.2588	1004	Paisley St. at G.C.V.I.
43.5415	-80.2606	1005	Paisley St. at Harrison Ave.
43.5407	-80.2632	1006	Paisley St. at Edinburgh Rd. N.
43.5389	-80.2657	1007	Paisley Rd. at Alma St.
43.5365	-80.2689	1008	Paisley Rd. at Western Ave.
43.5346	-80.2715	1009	Paisley Rd. at Heath Rd.
43.5355	-80.2749	1010	Westwood Rd. at Silvercreek Pkwy. N.
43.5328	-80.2788	1011	85 Westwood Rd. 
43.5328	-80.2852	1012	225 Westwood Rd. 
43.5333	-80.2882	1013	Willow Rd. at Westwood Rd.
43.5315	-80.2906	1014	577 Willow Rd. at Church
43.5276	-80.2907	1015	Imperial Rd. S. at Ferman Dr. 
43.5247	-80.2914	1016	West End Community Centre
43.5261	-80.2854	1017	926 Paisley Rd. 
43.529	-80.2792	1018	Paisley Rd. at Candlewood Dr.
43.5309	-80.276	1019	Paisley Rd. at West Hill Estates
43.5345	-80.2715	1020	Paisley Rd. at Heath Rd.
43.5369	-80.2681	1021	Paisley Rd. at Goldie Ave.
43.5388	-80.2656	1022	Paisley Rd. at Alma St.
43.5404	-80.2633	1023	Paisley Rd. at Edinburgh Rd. N.
43.5425	-80.2584	1024	Paisley St. at Yorkshire St. N. 
43.5433	-80.2568	1025	Paisley St. at Glasgow St. 
43.5451	-80.2532	1026	Paisley St. at Norfolk St. 
43.5456	-80.249	1027	Wyndham St. N. at IF Shoe store
43.5458	-80.2455	1028	Guelph Central Station
43.5458	-80.2455	1100	Guelph Central Station
43.5441	-80.2507	1101	Norfolk St. at Albion
